CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT,TH
LANG,Name of language,English,Français,Português,日本語,Español,Deutsch,Italiano,ภาษาไทย
back,Return to previous thing,Back,Retour,Voltar,戻る,Volver,Zurück,Indietro,กลับ
difficulty,,Difficulty,Difficulté,Dificuldade,難易度,Dificultad,Schwierigkeit,Difficoltà,ระดับความยาก
easy,,Easy,Facile,Fácil,EASY,Fácil,Leicht,Facile,ง่าย
hard,,Hard,Difficile,Difícil,HARD,Difícil,Schwer,Difficile,ยาก
input,as in “type of input method” ie “touch” or “controller”,Input,Méthode d'entrée,Entrada,入力,Entrada,Eingabe,Ingresso,Input
level,,Level,Niveau,Nível,LV,Nivel,Level,Livello,ระดับ
randomColors,Option to randomize panel colors,Random Colors,Couleurs aléatoires,Cores aleatórias,ランダムな色,Colores al azar,Zufällige Farben,Colori casuali,สุ่มสี
randomHorizontalFlipped,Option to randomly flip the puzzle horizontally,Randomly Flip,Inversion aléatoire,Vire aleatoriamente,ランダムにフリップ,Voltear al azar,Zufällig flip,Capovolgere casualmente,สุุ่มสลับซ้าย - ขวา
normal,,Normal,Normal,Normal,NORMAL,Normal,Normal,Normale,ปานกลาง
speed,,Speed,Vitesse,Velocidade,スピード,Velocidad,Geschwindigkeit,Velocità,ความเร็ว
factory,Training mode that drops multiple tiers of chain garbage,Factory,Usine,Fábrica,工場,Fábrica,Fabrik,Fabbrica,Factory
combo_storm,Training mode that drops lots of small combo blocks in a row,Combo Storm,Tempête combo,Tempestade de combinação,コンボ嵐,Tormenta de combos,Combo Storm,Combo Storm.,Combo Storm
large_garbage,Training mode that drops huge chain blocks,Large Garbage,Gros déchets,Grande lixo,大規模なごみ,Escombros grandes,Großer Müll,Grande spazzatura,ขยะก้อนใหญ่
width,width of garbage blocks in training mode,Width,Largeur,Largura,幅,Ancho,Breite,Larghezza,ความกว้างก้อนขยะ
height,height of garbage blocks in training mode,Height,Hauteur,Altura,高さ,Altura,Höhe,Altezza,ความสูงก้อนขยะ
vs,,vs,vs,vs,対,vs,vs,vs,vs
up,,Up,Haut,Cima,上,Arriba,Hoch,Su,ขึ้น
down,,Down,Bas,Baixo,下,Abajo,Runter,Giù,ลง
left,,Left,Gauche,Esquerda,左,Izquierda,Links,Sinistra,ซ้าย
right,,Right,Droite,Direita,右,Derecha,Rechts,Destra,ขวา
start,,Start,Start,Começar,START,Comenzar,Start,Avvio,เริ่ม
raise,button used to raise the stack with touch inputs,Raise,Monter,Levantar,高める,Elevar,Anheben,Aumentare,เลื่อน board ขึ้น
player,,Player,Joueur,Jogador,プレイヤー,Jugador,Spieler,Giocatore,ผู้เล่น
player_n,,Player %1,Joueur %1,Jogador %1,プレイヤー%1,Jugador %1,Spieler %1,Giocatore %1,ผูู้เล่น %1
page,,Page,Page,Página,ページ,Página,Seite,Pagina,หน้า
panels,,Panels,Blocs,Painéis,パネル,Paneles,Panels,Tessere,Panels
character,,Character,Personnage,Personagem,??????,Personaje,Charakter,Carattere,ตัวละคร
stage,,Stage,Terrain,Cenário,ステージ,Escenario,Arena,Scenario,ด่าน
mode,,Mode,Mode,Modo,モード,Modo,Modus,Modalità,โหมด
ready,,Ready,Prêt,Pronto,READY,Listo,Bereit,Pronto,พร้อม
random,,Random,Aléatoire,Aleatório,ランダム,Aleatorio,Zufall,Casuale,สุ่ม
leave,,Leave,Quitter,Sair,終わる,Salir,Verlassen,Esci,ออก
pause,,Pause,Pause,Pausa,ポーズ,Pausa,Pause,Pausa,หยุด
go_,,Go!,Commencer,Vai!,GO!,¡Adelante!,Los!,Via!,ไป !
endless_type,Name of the menu in endless / time attack that lets you pick between the old difficulty style and the new one,Type,Type,Tipo,タイプ,Tipo,Typ,Tipo,ประเภท
endless_classic,old difficulty style in endless / time attack,Classic,Classique,Clássico,クラシック,Clásico,Klassisch,Classico,คลาสสิค
endless_modern,new difficulty style in endless / time attack,Modern,Moderne,Moderno,モダン,Moderno,Modern,Moderno,ทันสมัย
anonymous,,Anonymous,Anonyme,Anônimo,匿名,Anónimo,Anonym,Anonimo,ไม่ระบุตัวตน
stages,,stages,terrains,Cenários,ステージ,Escenarios,Arenen,Scenario,ด่าน
characters,,characters,personnages,Personagens,キャラクター,Personajes,Charaktere,Personaggi,ตัวละคร
join_community,,Join the community at %1,Rejoignez la communauté sur %1,Participe da comunidade em %1,コミュニティに参加しよう %1,Únete a nuestra comunidad en %1,Tritt unserer Community bei unter %1,Unisciti alla community su %1,เข้าร่วมกลุ่มได้ที่ %1
warning_msg,,You've had a bug. Please report this on Discord with file:,"Vous venez de rencontrer un problème.
S'il vous plaît, signalez-le sur Discord avec le fichier :","Você encontrou um problema. Por favor, reporte no Discord o arquivo em anexo:",不具合が発生しました。以下のファイルでディスコードに報告して下さい：,"Ha habido un problema. Por favor, informa sobre esto en Discord con el siguiente archivo:",Ein Bug ist aufgetreten. Bitte melde diesen in unserem Discord mit der Datei:,"Hai riscontrato un bug. Per favore, segnalalo su Discord con il file:",คุณเจอ bug กรุณารายงานปัญหาใน Discord ด้วยไฟล์นี้:
lb_alone,,You are all alone in the lobby :(,Vous êtes seul dans le salon :(,Você está sozinho(a) no lobby :(,ぼっち　(´・ω・`),No hay nadie en la sala :(,Du bist ganz alleine in der Lobby :<,Sei tutto solo nella lobby :(,ในล็อบบี้ตอนนี้มีคุณคนเดียว :(
lb_back,,Back to main menu,Revenir au menu principal,Voltar ao menu principal,メインメニューに戻る,Volver al menú principal,Zurück zum Hauptmenü,Torna al menù principale,กลับสู่เมนูหลัก
lb_connecting,,Connecting...,Connexion en cours...,Conectando...,接続中...,Conectando,Verbinde...,Connessione...,กำลังเชื่อมต่อ
lb_error_msg,,Error message received from the server:,Message d'erreur du serveur :,Mensagem de erro recebida do servidor:,サーバーから受信したエラーメッセージ：,Mensaje de error recibido del servidor:,Fehlernachricht vom Server erhalten.,Messaggio d'errore ricevuto dal server:,ข้อความ error ที่ได้รับจาก server :
lb_header_board,,"Leaderboard
  Rank  Rating   Player","Classement
  Rang  Score   Joueur","Placar de Classificação
  Rank  Classificação  Jogador","ランキング
 順位 レート プレイヤー","Clasificación
Posición Puntos Jugador","Rangliste
 Rang  Punkte  Spieler","Classifica
  Posizione  Punteggio   Giocatore","ตารางคะแนน
แรงค์ เรทติ้ง ผู้เล่น"
lb_show_board,,Show Leaderboard,Afficher le classement,Mostrar Placar de Classificação,ランキングを表示,Mostrar clasificación,Rangliste anzeigen,Mostra la classifica,แสดงตารางคะแนน
lb_login,,Logging in...,Connexion en cours...,Iniciando sessão ...,ログインしています...,Iniciando Sesión,Anmeldung...,Accesso in corso...,กำลังเข้าสู่ระบบ
lb_login_timeout,,"Login for ranked matches timed out.
This server probably doesn't support ranking.


You may continue unranked.","Délai de connexion à la partie classée dépassé.
Ce serveur ne gère peut-être pas les parties classées.


Vous pouvez continuer en non classé.","O tempo de acesso à partidas ranqueadas expirou.
Este servidor provavelmente não suporta partidas ranqueadas.


Você pode continuar em partidas não ranqueadas.","レートマッチのログインがタイムアウトしました。
このサーバーはおそらくレートランキングに対応していません。

ランクなしで続行できます。","Se ha agotado el tiempo de espera para iniciar sesión
Es posible que el servidor no soporte partidas clasificatorias.


Solamente puedes jugar partidas normales (unranked).","Die Anmeldung für das bewertete Spiel hat zu lange gedauert.
Der Server unterstützt vermutlich keine Rangliste.

Du kannst ohne Wertung weiterspielen.","L'accesso alle partite classificate è scaduto.
Questo server probabilmente non supporta le partite classificate. 


Puoi continuare a giocare in modalità non clasificata.","การ Login เข้า ranked matches ใช้เวลานานผิดปกติ server อาจจะไม่รองรับระบบ ranking

แต่คุณสามารถเล่นต่อแบบไม่ใช่ระบบ ranked ได้"
lb_new_id,,need a new user id,besoin d'un nouvel identifiant utilisateur,necessário novo ID de usuário,新しいユーザーIDが必要です,Se necesita un nuevo ID de usuario,Du benötigst eine neue Spieler-ID.,Necessario nuovo ID utente.,ต้องการ user id ใหม่
lb_received,,(wants to play with you :o),(vous invite à jouer :o),(quer jogar com você :o),（対戦を申し込まれました！（・o・））,(quiere jugar contigo :o),(möchte mit dir spielen),(vuole giocare con te :o),(อยากเล่นกับคุณ :o)
lb_request,,(request sent),(demande envoyée),(solicitação enviada),（対戦申請中）,(solicitud enviada),(Anfrage gesendet),(richiesta inviata),คำร้องถูกส่งแล้ว
lb_select_player,,Select a player name to ask for a match.,Selectionnez un joueur avec qui jouer.,Selecione um nome de jogador para solicitar uma partida.,プレイヤー名を選択して対戦を申し込んで下さい。,Selecciona un jugador para enviarle solicitud de partida.,"Wähle einen Spieler aus, um ihn herauszufordern.",Seleziona il nome di un giocatore con cui giocare.,กดที่ชื่อผู้เล่น เพื่อขอเล่นด้วย
lb_set_connect,,Setting up connection...,Préparation de la connexion...,Estabelecendo conexão...,接続しています…,Estableciendo conexión...,Verbindungsaufbau...,Stabilendo la connessione...,กำลังเชื่ื่อมต่อ
lb_hide_board,,Hide Leaderboard,Cacher le classement,Ocultar Placar de Classificação,ランキングを非表示,Ocultar clasificación,Rangliste verbergen,Nascondi la classifica,ซ่อนตารางคะแนน
lb_spectate,,spectate,regarder,assistir,観戦する,mirar a,zuschauen,Assisti,ดูคนอื่นเล่น
